Customer ID,Subscription Length (Months),Customer Satisfaction Score (1-10),Daily Watch Time (Hours),Engagement Rate (1-10),Device Used Most Often,Genre Preference,Region,Payment History (On-Time/Delayed),Subscription Plan,Churn Status (Yes/No),Support Queries Logged,Age,Monthly Income ($),Promotional Offers Used,Number of Profiles Created,,
C00260,24,2,4.72,5,Mobile,Drama,Asia,On-Time,Basic,Yes,10,66,8018,1,5,,
C00261,1,4,1.28,4,Mobile,Sci-Fi,Europe,Delayed,Basic,Yes,3,43,5973,1,5,,
C00262,3,8,3.52,1,Desktop,Sci-Fi,North America,On-Time,Premium,Yes,9,62,9055,3,3,,
C00263,12,3,1.05,3,Mobile,Action,Europe,Delayed,Basic,No,2,60,2094,3,3,,
C00264,1,6,4.46,1,Smart TV,Romance,North America,On-Time,Basic,Yes,7,24,6014,4,4,,
C00265,24,4,4.85,2,Laptop,Action,North America,Delayed,Standard,Yes,8,53,1835,3,5,,
C00266,3,4,2.4,4,Smart TV,Documentary,Africa,Delayed,Standard,No,3,28,5120,5,3,,
C00267,6,1,1.76,8,Mobile,Documentary,Asia,Delayed,Premium,No,5,20,2497,1,2,,
C00268,24,6,4.82,2,Laptop,Drama,Africa,Delayed,Basic,No,3,51,2649,0,4,,
C00269,6,8,3.44,9,Desktop,Sci-Fi,North America,On-Time,Standard,Yes,4,31,2546,1,1,,
C00270,1,1,4.54,4,Laptop,Sci-Fi,Europe,On-Time,Basic,No,5,57,1560,2,4,,
C00271,1,10,3.24,2,Mobile,Thriller,Africa,Delayed,Standard,No,7,65,2437,0,5,,
C00272,24,5,2.27,2,Laptop,Documentary,Europe,Delayed,Basic,Yes,3,43,2759,3,5,,
C00273,12,6,1.42,9,Desktop,Comedy,Africa,On-Time,Premium,Yes,3,47,8883,1,1,,
C00274,6,7,4.57,3,Desktop,Thriller,Africa,Delayed,Basic,Yes,5,42,5359,2,4,,
C00275,24,5,3.8,6,Tablet,Romance,Africa,Delayed,Standard,Yes,5,60,8810,0,2,,
C00276,24,1,3.9,9,Desktop,Sci-Fi,South America,Delayed,Premium,Yes,7,57,3969,3,1,,
C00277,3,8,3.25,2,Laptop,Comedy,Europe,On-Time,Basic,Yes,3,20,8158,3,5,,
C00278,1,7,4.17,4,Desktop,Thriller,Africa,Delayed,Premium,Yes,6,26,910,5,1,,
C00279,1,1,3.39,4,Laptop,Documentary,Asia,Delayed,Premium,Yes,10,26,4699,4,2,,
C00280,24,8,4.18,2,Tablet,Sci-Fi,Europe,Delayed,Basic,No,4,68,2460,0,5,,
C00281,1,6,2.83,1,Mobile,Romance,Europe,On-Time,Standard,No,4,68,9479,2,2,,
C00282,3,8,0.84,9,Tablet,Comedy,South America,Delayed,Basic,Yes,9,68,8505,4,2,,
C00283,6,1,3.83,6,Smart TV,Drama,North America,Delayed,Premium,No,2,23,7386,4,4,,
C00284,6,5,2.29,3,Desktop,Action,North America,Delayed,Standard,Yes,6,45,9967,3,1,,
C00285,1,8,1.92,8,Smart TV,Documentary,South America,On-Time,Basic,No,2,51,8262,3,5,,
C00286,24,5,3.93,1,Laptop,Comedy,Africa,Delayed,Basic,No,2,48,8197,2,4,,
C00287,1,4,3.89,9,Smart TV,Documentary,North America,On-Time,Premium,No,10,60,5650,0,3,,
C00288,6,9,2.58,2,Laptop,Comedy,North America,On-Time,Basic,Yes,8,33,5372,1,3,,
C00289,12,1,4.77,9,Laptop,Romance,North America,On-Time,Basic,Yes,9,34,8657,1,1,,
C00290,12,3,0.52,10,Laptop,Documentary,Africa,Delayed,Standard,Yes,6,28,4473,0,1,,
C00291,12,8,0.67,7,Smart TV,Sci-Fi,Africa,Delayed,Standard,No,3,52,9824,1,4,,
C00292,24,3,4.17,2,Mobile,Drama,North America,Delayed,Premium,No,0,31,822,2,2,,
C00293,1,1,3.53,2,Smart TV,Drama,Africa,Delayed,Basic,No,2,36,1830,4,2,,
C00294,24,2,0.52,10,Desktop,Drama,North America,Delayed,Premium,No,3,54,8145,0,1,,
C00295,6,1,3.86,5,Desktop,Romance,Africa,Delayed,Basic,Yes,1,42,8943,3,1,,
C00296,6,3,4.45,9,Laptop,Comedy,Asia,Delayed,Standard,Yes,4,43,8496,0,4,,
C00297,6,9,1.06,1,Smart TV,Thriller,Europe,Delayed,Standard,Yes,10,33,4856,2,2,,
C00298,12,3,0.78,1,Mobile,Action,Europe,Delayed,Basic,Yes,5,45,4865,4,1,,
C00299,3,4,3.51,5,Tablet,Sci-Fi,North America,On-Time,Standard,Yes,9,40,5004,3,5,,
C00300,3,10,3.68,9,Laptop,Thriller,South America,Delayed,Premium,No,4,53,938,1,2,,
C00301,1,10,2.95,2,Smart TV,Romance,Africa,On-Time,Premium,No,5,34,4755,3,5,,
C00302,6,1,2.19,7,Tablet,Action,North America,On-Time,Premium,No,4,58,3065,2,5,,
C00303,1,8,4.45,9,Smart TV,Sci-Fi,Africa,Delayed,Premium,Yes,8,36,9667,3,3,,
C00304,6,8,1.62,4,Laptop,Action,Europe,Delayed,Standard,Yes,9,48,4646,3,1,,
C00305,24,5,2.04,1,Desktop,Action,Africa,On-Time,Standard,No,4,57,2271,0,3,,
C00306,12,3,1.75,4,Desktop,Drama,Europe,On-Time,Premium,No,2,42,2612,5,3,,
C00307,3,8,3.65,1,Laptop,Documentary,South America,Delayed,Premium,No,4,44,3666,4,4,,
C00308,6,9,1.2,7,Tablet,Sci-Fi,Asia,On-Time,Premium,No,9,55,5765,2,3,,
C00309,1,8,1.66,4,Tablet,Sci-Fi,Africa,On-Time,Premium,Yes,6,29,8223,0,4,,
C00310,6,9,1.45,9,Mobile,Comedy,Asia,On-Time,Premium,No,2,21,1901,2,3,,
C00311,3,2,4.61,6,Desktop,Drama,Europe,Delayed,Basic,No,0,35,5183,0,5,,
C00312,12,5,1.45,6,Smart TV,Sci-Fi,Europe,On-Time,Standard,Yes,8,44,5627,3,2,,
C00313,3,4,2.84,9,Desktop,Documentary,South America,Delayed,Basic,No,1,69,3558,4,1,,
C00314,12,5,1.23,3,Desktop,Documentary,Europe,On-Time,Standard,Yes,7,52,8319,4,4,,
C00315,24,3,3.69,4,Mobile,Action,Asia,On-Time,Standard,No,5,38,1978,5,2,,
C00316,24,10,3.11,2,Mobile,Comedy,Asia,Delayed,Basic,No,2,63,6216,3,2,,
C00317,12,7,3.89,10,Mobile,Romance,North America,On-Time,Standard,No,6,63,2055,5,3,,
C00318,24,2,1.08,7,Smart TV,Thriller,Europe,Delayed,Basic,No,0,57,8653,4,2,,
C00319,6,1,1.27,1,Mobile,Drama,Europe,On-Time,Basic,Yes,5,33,8586,1,3,,
C00320,24,4,3.31,2,Tablet,Sci-Fi,Europe,On-Time,Standard,No,0,67,9822,4,1,,
C00321,24,5,1.32,6,Mobile,Documentary,North America,On-Time,Premium,Yes,9,18,6230,3,3,,
C00322,24,7,0.81,3,Mobile,Documentary,Asia,On-Time,Premium,No,4,43,681,4,1,,
C00323,1,2,1.87,2,Smart TV,Documentary,North America,On-Time,Premium,No,6,60,8262,1,3,,
C00324,1,8,2.26,3,Laptop,Documentary,North America,On-Time,Basic,No,10,65,6127,2,2,,
C00325,6,3,3.6,10,Laptop,Romance,Asia,On-Time,Basic,No,1,68,9803,5,2,,
C00326,24,5,4.63,9,Tablet,Drama,North America,Delayed,Standard,Yes,3,51,9812,1,5,,
C00327,6,2,3.57,3,Smart TV,Drama,South America,On-Time,Premium,No,3,44,8418,3,4,,
C00328,12,3,4.96,2,Laptop,Thriller,South America,Delayed,Standard,Yes,0,32,2990,2,4,,
C00329,1,2,3.79,7,Tablet,Romance,North America,On-Time,Premium,Yes,6,69,3211,3,1,,
C00330,1,9,3.11,5,Mobile,Drama,North America,Delayed,Premium,No,5,34,3098,2,5,,
C00331,1,2,1,8,Smart TV,Thriller,South America,On-Time,Standard,No,7,48,2858,3,4,,
C00332,12,4,4.38,9,Tablet,Sci-Fi,Europe,On-Time,Standard,Yes,5,56,8002,1,2,,
C00333,24,10,2.92,7,Desktop,Thriller,South America,Delayed,Basic,No,10,27,865,4,2,,
C00334,3,6,4.97,3,Mobile,Romance,Europe,Delayed,Basic,No,8,58,5338,2,1,,
C00335,24,10,3.76,4,Tablet,Documentary,North America,On-Time,Premium,No,9,24,2906,3,4,,
C00336,3,2,3.34,5,Smart TV,Documentary,South America,Delayed,Premium,Yes,1,24,5186,0,1,,
C00337,12,10,0.86,6,Desktop,Documentary,South America,On-Time,Standard,Yes,0,45,2196,3,4,,
C00338,3,9,0.63,6,Laptop,Documentary,Europe,On-Time,Premium,Yes,1,37,6243,0,4,,
C00339,24,9,2.74,4,Laptop,Action,North America,Delayed,Basic,Yes,4,70,7257,3,2,,
C00340,12,6,4.66,8,Smart TV,Action,Africa,On-Time,Premium,No,7,43,8803,5,2,,
C00341,1,4,2.76,4,Tablet,Action,Asia,Delayed,Premium,No,6,24,6543,4,4,,
C00342,3,8,3.12,6,Mobile,Sci-Fi,North America,On-Time,Premium,Yes,8,46,2580,5,3,,
C00343,1,9,3.26,3,Desktop,Comedy,Europe,Delayed,Basic,Yes,3,21,5337,3,5,,
C00344,24,1,3.25,4,Mobile,Sci-Fi,Asia,On-Time,Premium,Yes,5,62,4015,1,1,,
C00345,12,8,1.57,9,Mobile,Comedy,Europe,Delayed,Basic,No,10,59,7350,2,1,,
C00346,1,9,1.77,2,Tablet,Sci-Fi,Europe,On-Time,Standard,Yes,5,61,7650,3,1,,
C00347,1,8,4.52,8,Smart TV,Action,Asia,On-Time,Premium,No,10,54,1302,0,1,,
C00348,12,10,4.45,3,Laptop,Drama,North America,On-Time,Basic,No,3,58,3074,5,2,,
C00349,24,4,0.81,2,Tablet,Documentary,North America,On-Time,Basic,No,8,36,7239,2,3,,
C00350,3,2,2.18,3,Mobile,Documentary,North America,On-Time,Basic,No,4,64,3254,0,4,,
C00351,6,4,0.57,9,Mobile,Documentary,North America,Delayed,Basic,Yes,0,27,4821,5,1,,
C00352,12,6,1.69,2,Desktop,Comedy,Asia,On-Time,Standard,Yes,4,49,9586,0,3,,
C00353,12,10,2.01,4,Mobile,Action,Europe,Delayed,Basic,Yes,8,36,4645,3,1,,
C00354,24,10,0.87,10,Desktop,Comedy,South America,On-Time,Basic,Yes,7,59,5535,3,4,,
C00355,12,4,3.57,2,Mobile,Romance,Africa,Delayed,Standard,No,7,70,6126,4,4,,
C00356,24,9,4.11,6,Desktop,Drama,Asia,Delayed,Standard,Yes,9,24,8893,3,4,,
C00357,6,6,4.19,7,Tablet,Documentary,South America,On-Time,Standard,Yes,0,43,953,5,4,,
C00358,24,7,3.74,5,Desktop,Thriller,Africa,On-Time,Premium,Yes,1,35,6162,1,5,,
C00359,12,6,2.48,8,Tablet,Romance,South America,On-Time,Standard,Yes,2,21,813,5,1,,
C00360,6,6,1.11,8,Smart TV,Sci-Fi,Africa,Delayed,Premium,No,6,19,7611,1,1,,
C00361,6,10,2.5,2,Tablet,Documentary,Africa,On-Time,Basic,Yes,10,31,8804,1,1,,
C00362,6,1,1.99,10,Laptop,Drama,Europe,Delayed,Premium,Yes,3,45,1468,3,3,,
C00363,12,9,4.46,6,Smart TV,Thriller,South America,Delayed,Standard,No,6,29,8444,2,3,,
C00364,12,3,1.37,4,Desktop,Comedy,South America,On-Time,Premium,No,8,47,3065,4,3,,
C00365,12,5,4.88,9,Laptop,Comedy,North America,Delayed,Premium,Yes,3,24,3569,3,3,,
C00366,1,10,4.24,4,Tablet,Action,Africa,On-Time,Premium,Yes,0,26,2409,4,2,,
C00367,6,6,4.55,9,Desktop,Sci-Fi,South America,On-Time,Basic,Yes,4,32,4808,0,4,,
C00368,1,3,4.85,7,Desktop,Comedy,North America,Delayed,Standard,Yes,2,55,3565,0,1,,
C00369,12,4,4.11,1,Desktop,Documentary,North America,On-Time,Basic,Yes,2,55,7437,0,3,,
C00370,3,2,4.29,9,Smart TV,Drama,South America,On-Time,Premium,Yes,8,43,3659,1,4,,
C00371,24,2,3.8,9,Smart TV,Documentary,North America,On-Time,Basic,Yes,2,54,6551,5,2,,
C00372,24,3,2.28,7,Laptop,Documentary,Europe,On-Time,Basic,No,4,53,7497,0,1,,
C00373,1,5,3.49,1,Mobile,Documentary,Europe,Delayed,Basic,No,4,22,7075,2,3,,
C00374,1,4,4.66,1,Mobile,Sci-Fi,Europe,Delayed,Premium,No,1,34,4860,0,4,,
C00375,24,1,1.97,5,Laptop,Sci-Fi,Africa,On-Time,Premium,No,6,35,7444,3,2,,
C00376,24,9,1.61,6,Tablet,Sci-Fi,Europe,Delayed,Premium,No,4,42,9543,0,2,,
C00377,3,4,1.16,8,Laptop,Documentary,Africa,Delayed,Standard,No,8,18,2809,1,3,,
C00378,24,5,3.82,6,Tablet,Documentary,Africa,Delayed,Premium,Yes,7,61,704,4,2,,
C00379,1,3,3.1,6,Desktop,Sci-Fi,North America,On-Time,Premium,No,5,31,6388,4,3,,
C00380,6,7,4.44,2,Tablet,Romance,Asia,On-Time,Premium,Yes,2,49,897,0,1,,
C00381,3,10,1.3,1,Laptop,Action,Europe,On-Time,Basic,No,10,55,2346,5,3,,
C00382,12,1,3.55,8,Laptop,Sci-Fi,South America,Delayed,Standard,No,9,29,3565,1,3,,
C00383,12,4,4.81,3,Tablet,Romance,South America,Delayed,Standard,No,2,42,2222,2,4,,
C00384,12,10,2.88,4,Mobile,Sci-Fi,North America,Delayed,Premium,Yes,4,26,7165,5,4,,
C00385,1,5,0.8,9,Mobile,Documentary,Europe,Delayed,Premium,No,10,54,3109,5,3,,
C00386,1,9,2.94,2,Desktop,Comedy,Africa,On-Time,Standard,Yes,1,63,9162,0,5,,
C00387,1,1,2.16,6,Laptop,Romance,Europe,On-Time,Premium,No,8,54,5090,1,3,,
C00388,24,3,3.22,3,Smart TV,Romance,Europe,On-Time,Basic,Yes,2,66,1576,0,2,,
C00389,6,2,2.42,1,Mobile,Thriller,Asia,On-Time,Premium,No,8,70,5182,1,3,,
C00390,1,4,2.46,6,Tablet,Thriller,Europe,On-Time,Basic,Yes,5,66,6888,5,2,,
C00391,24,3,4.22,6,Smart TV,Sci-Fi,North America,Delayed,Premium,No,1,26,1228,1,2,,
C00392,24,7,1.59,2,Tablet,Action,Asia,Delayed,Premium,No,10,38,1274,5,3,,
C00393,24,2,4.54,4,Smart TV,Comedy,Asia,On-Time,Standard,No,7,58,3307,0,3,,
C00394,3,6,1.8,6,Desktop,Action,North America,On-Time,Basic,Yes,5,29,5300,2,1,,
C00395,3,5,0.98,7,Tablet,Romance,Africa,Delayed,Standard,Yes,7,30,4086,3,1,,
C00396,3,1,2.29,2,Smart TV,Sci-Fi,Europe,On-Time,Standard,Yes,2,18,5393,0,3,,
C00397,24,5,1.3,6,Desktop,Comedy,Europe,Delayed,Premium,No,1,27,1227,4,3,,
C00398,6,4,3.46,3,Tablet,Sci-Fi,North America,On-Time,Premium,No,2,62,1897,0,2,,
C00399,12,9,2.47,8,Laptop,Sci-Fi,South America,Delayed,Premium,Yes,8,52,7879,1,1,,
C00400,6,4,4.73,4,Mobile,Comedy,North America,On-Time,Standard,No,8,20,5577,1,1,,
C00401,12,9,4.93,3,Tablet,Thriller,North America,On-Time,Premium,Yes,0,58,7483,5,2,,
C00402,24,1,4.61,8,Laptop,Sci-Fi,Europe,On-Time,Premium,No,10,60,2565,2,3,,
C00403,1,4,1,6,Smart TV,Action,Asia,Delayed,Basic,No,5,25,6664,3,5,,
C00404,3,7,4.56,7,Laptop,Action,Europe,On-Time,Premium,No,0,32,8259,5,5,,
C00405,12,7,3.03,7,Mobile,Action,Asia,On-Time,Standard,No,0,19,9921,3,2,,
C00406,6,10,3.38,4,Smart TV,Sci-Fi,South America,Delayed,Premium,Yes,7,19,4022,0,1,,
C00407,12,3,4.09,3,Laptop,Romance,Europe,On-Time,Basic,No,5,49,2423,4,2,,
C00408,24,4,0.61,2,Smart TV,Drama,Africa,Delayed,Basic,No,1,61,5398,1,5,,
C00409,1,9,1.24,3,Smart TV,Thriller,Africa,Delayed,Standard,Yes,1,51,8444,1,4,,
C00410,24,1,2.44,4,Desktop,Sci-Fi,Asia,Delayed,Standard,Yes,0,28,6693,0,5,,
C00411,24,2,4.38,7,Laptop,Sci-Fi,South America,Delayed,Standard,Yes,1,22,5156,4,2,,
C00412,12,6,4.09,5,Mobile,Action,Europe,On-Time,Premium,Yes,0,36,4168,3,5,,
C00413,6,4,3.56,8,Mobile,Sci-Fi,Africa,Delayed,Premium,Yes,10,37,2589,1,4,,
C00414,1,4,2.05,7,Tablet,Comedy,Europe,Delayed,Premium,Yes,0,48,5983,3,4,,
C00415,3,3,4.5,10,Laptop,Action,Africa,On-Time,Standard,Yes,3,26,5463,3,1,,
C00416,12,4,3.94,9,Desktop,Comedy,Europe,Delayed,Standard,Yes,2,70,7337,0,1,,
C00417,12,1,3.32,1,Tablet,Comedy,South America,Delayed,Premium,Yes,7,40,3088,0,1,,
C00418,1,2,3.3,8,Laptop,Comedy,North America,Delayed,Premium,No,3,43,6750,3,5,,
C00419,3,9,0.78,10,Desktop,Romance,Asia,On-Time,Premium,Yes,2,58,6412,5,5,,
C00420,1,3,1.48,1,Laptop,Sci-Fi,Europe,On-Time,Basic,Yes,3,34,4565,0,1,,
C00421,3,10,1.3,3,Desktop,Sci-Fi,Europe,On-Time,Premium,No,10,22,6805,4,2,,
C00422,12,10,0.52,1,Tablet,Romance,Asia,On-Time,Premium,No,9,70,5145,0,4,,
C00423,12,3,2.04,1,Desktop,Sci-Fi,Europe,Delayed,Standard,No,1,70,3112,4,5,,
C00424,6,7,3.86,9,Mobile,Action,Asia,Delayed,Basic,No,1,31,9659,2,3,,
C00425,1,9,2.32,4,Laptop,Romance,Africa,On-Time,Premium,Yes,10,47,1889,2,2,,
C00426,3,6,4.64,4,Desktop,Comedy,Asia,On-Time,Basic,No,10,64,6172,0,3,,
C00427,24,7,1.34,3,Tablet,Drama,North America,On-Time,Premium,Yes,6,38,7075,0,5,,
C00428,6,10,2.55,10,Mobile,Drama,Europe,Delayed,Premium,Yes,4,59,5050,5,2,,
C00429,1,3,4.63,9,Laptop,Sci-Fi,South America,On-Time,Basic,No,4,65,2764,2,4,,
C00430,6,1,2.63,3,Laptop,Drama,Europe,Delayed,Standard,Yes,8,23,7044,2,1,,
C00431,1,2,2.76,6,Smart TV,Drama,South America,Delayed,Basic,No,10,45,9261,5,3,,
C00432,1,2,3.6,6,Laptop,Romance,Africa,Delayed,Premium,Yes,1,53,8904,3,2,,
C00433,6,7,2.39,9,Mobile,Comedy,Europe,On-Time,Premium,No,7,51,5792,4,2,,
C00434,3,1,4.59,7,Desktop,Documentary,Europe,Delayed,Basic,No,2,52,5570,2,3,,
C00435,24,3,1.08,9,Laptop,Drama,Europe,On-Time,Basic,No,6,34,4086,3,2,,
C00436,24,4,1.68,6,Mobile,Documentary,Asia,On-Time,Standard,Yes,0,47,5125,4,5,,
C00437,1,8,4.3,8,Mobile,Thriller,Africa,On-Time,Basic,No,2,45,8759,4,1,,
C00438,12,9,3.34,9,Laptop,Thriller,Africa,Delayed,Premium,No,7,53,9447,5,1,,
C00439,1,9,3.89,2,Tablet,Action,Africa,On-Time,Premium,No,1,53,3343,5,5,,
C00440,12,4,4.5,3,Mobile,Sci-Fi,Asia,Delayed,Premium,No,1,64,557,2,5,,
C00441,1,7,3.53,4,Tablet,Sci-Fi,North America,Delayed,Standard,No,5,36,5192,3,5,,
C00442,1,6,3.86,2,Tablet,Action,Africa,Delayed,Premium,Yes,0,53,2158,3,3,,
C00443,1,1,2.78,1,Smart TV,Drama,Asia,On-Time,Standard,Yes,2,37,5510,4,1,,
C00444,24,8,2.86,4,Tablet,Thriller,Asia,On-Time,Premium,No,0,37,7796,3,3,,
C00445,6,9,1.11,1,Desktop,Sci-Fi,Asia,On-Time,Standard,Yes,1,42,1925,5,3,,
C00446,24,6,4.52,6,Desktop,Action,Africa,Delayed,Standard,Yes,4,51,543,0,1,,
C00447,1,5,4.12,1,Smart TV,Sci-Fi,Europe,Delayed,Premium,Yes,1,25,5730,2,3,,
C00448,1,6,4.63,5,Laptop,Drama,Asia,Delayed,Standard,Yes,8,48,3088,4,5,,
C00449,3,1,0.9,3,Laptop,Action,Asia,On-Time,Premium,Yes,3,54,6021,5,3,,
C00450,6,6,4.72,1,Laptop,Drama,Africa,Delayed,Standard,No,4,57,6458,0,1,,
C00451,3,10,4.51,10,Laptop,Sci-Fi,Europe,Delayed,Premium,No,4,44,5872,2,3,,
C00452,6,8,1.62,4,Smart TV,Sci-Fi,North America,On-Time,Standard,No,9,65,8952,3,1,,
C00453,12,6,4.27,5,Tablet,Thriller,Europe,On-Time,Standard,Yes,7,25,1607,0,4,,
C00454,6,1,0.64,5,Tablet,Thriller,South America,Delayed,Standard,No,2,31,5059,1,1,,
C00455,6,8,3.9,8,Tablet,Thriller,Africa,On-Time,Premium,Yes,6,62,598,0,1,,
C00456,24,5,2.65,6,Tablet,Romance,North America,Delayed,Basic,No,1,35,8771,4,2,,
C00457,1,3,4.44,7,Smart TV,Romance,North America,On-Time,Basic,No,6,64,7500,4,2,,
C00458,6,10,1.18,8,Smart TV,Romance,North America,Delayed,Premium,Yes,9,44,3804,1,5,,
C00459,6,4,0.51,5,Desktop,Documentary,Europe,Delayed,Premium,No,4,54,3312,0,3,,
C00460,3,5,2.93,1,Tablet,Comedy,North America,Delayed,Standard,No,7,21,3332,0,1,,
C00461,24,4,0.99,7,Tablet,Action,South America,On-Time,Premium,Yes,2,53,3746,2,2,,
C00462,12,8,0.81,6,Smart TV,Thriller,Asia,Delayed,Standard,No,4,41,2696,2,5,,
C00463,12,10,3.77,4,Smart TV,Drama,South America,On-Time,Standard,No,2,65,2009,0,5,,
C00464,3,5,2.5,7,Mobile,Documentary,Asia,On-Time,Basic,Yes,3,27,2032,1,4,,
C00465,24,10,3.79,6,Laptop,Comedy,Asia,Delayed,Premium,Yes,0,24,3085,0,3,,
C00466,6,2,1.69,6,Mobile,Thriller,Europe,On-Time,Standard,Yes,6,43,4953,3,5,,
C00467,24,1,3.85,2,Mobile,Romance,Asia,On-Time,Basic,No,7,69,3509,2,1,,
C00468,24,7,1.43,2,Tablet,Sci-Fi,Europe,Delayed,Basic,Yes,7,60,1300,0,3,,
C00469,1,9,4.54,8,Desktop,Drama,South America,Delayed,Premium,No,3,27,6791,0,3,,
C00470,24,8,3.4,5,Laptop,Thriller,North America,On-Time,Basic,No,0,59,3885,1,4,,
C00471,3,6,3.93,5,Desktop,Thriller,South America,Delayed,Standard,No,10,24,3282,3,2,,
C00472,12,2,4.47,5,Laptop,Sci-Fi,North America,On-Time,Basic,Yes,6,30,8753,4,1,,
C00473,3,7,3.11,9,Laptop,Sci-Fi,Europe,On-Time,Standard,Yes,2,46,790,4,2,,
C00474,3,10,1.52,6,Smart TV,Documentary,Africa,Delayed,Premium,No,10,33,4948,2,5,,
C00475,6,1,2.7,9,Smart TV,Comedy,Asia,On-Time,Premium,Yes,2,39,3326,3,5,,
C00476,3,2,1.78,10,Smart TV,Romance,South America,Delayed,Premium,No,0,22,4419,2,2,,
C00477,24,6,3.56,9,Mobile,Thriller,Africa,Delayed,Standard,No,4,32,5062,0,4,,
C00478,12,5,3.8,7,Tablet,Documentary,Europe,Delayed,Standard,Yes,0,24,6522,4,4,,
C00479,3,5,1.99,3,Mobile,Thriller,South America,On-Time,Basic,No,0,20,736,5,3,,
C00480,12,5,3.08,5,Smart TV,Romance,Europe,Delayed,Basic,No,1,66,4879,5,1,,
C00481,3,2,2.81,6,Smart TV,Thriller,Asia,Delayed,Premium,Yes,7,39,9163,1,5,,
C00482,3,1,4.4,4,Tablet,Romance,North America,On-Time,Basic,Yes,8,50,8953,3,5,,
C00483,12,8,3.91,3,Mobile,Romance,South America,On-Time,Basic,Yes,8,56,6599,4,2,,
C00484,6,4,3.75,7,Laptop,Documentary,Africa,Delayed,Basic,Yes,4,57,1262,4,4,,
C00485,3,9,2.94,1,Smart TV,Comedy,Africa,Delayed,Standard,Yes,5,25,8553,3,4,,
C00486,6,10,3.81,10,Smart TV,Action,Asia,On-Time,Basic,No,6,56,5970,1,1,,
C00487,6,3,2.54,3,Laptop,Drama,Europe,Delayed,Premium,Yes,2,25,1960,2,3,,
C00488,24,9,1.47,2,Tablet,Comedy,Africa,Delayed,Standard,Yes,10,48,9357,5,3,,
C00489,1,9,3.66,4,Mobile,Drama,Asia,Delayed,Premium,Yes,3,52,3942,0,4,,
C00490,1,2,1.75,9,Laptop,Documentary,Asia,On-Time,Standard,Yes,2,41,5739,2,4,,
C00491,1,8,1.42,5,Laptop,Documentary,Asia,Delayed,Standard,Yes,9,32,3562,4,1,,
C00492,12,2,4.6,10,Smart TV,Sci-Fi,Asia,Delayed,Standard,Yes,2,51,6618,0,1,,
C00493,12,10,1.64,8,Desktop,Sci-Fi,Africa,Delayed,Premium,No,2,23,1474,3,5,,
C00494,6,1,4.44,8,Laptop,Romance,Asia,Delayed,Basic,No,0,58,2992,0,2,,
C00495,12,5,1.44,8,Laptop,Sci-Fi,South America,On-Time,Standard,No,3,55,8756,2,1,,
C00496,6,3,2.98,4,Smart TV,Documentary,Asia,On-Time,Premium,No,10,67,1839,0,1,,
C00497,6,2,2.49,10,Smart TV,Documentary,North America,On-Time,Standard,No,6,37,3914,0,3,,
C00498,1,9,3.87,9,Mobile,Drama,Africa,Delayed,Premium,No,2,34,8059,1,3,,
C00499,3,1,1.99,6,Laptop,Sci-Fi,Africa,Delayed,Standard,Yes,2,68,8029,0,3,,
C00500,1,7,3.18,6,Tablet,Sci-Fi,Africa,On-Time,Standard,Yes,9,70,2760,1,2,,
C00501,3,7,3.38,3,Laptop,Romance,North America,Delayed,Premium,Yes,7,64,4824,3,5,,
C00502,24,9,0.96,5,Mobile,Documentary,South America,On-Time,Standard,Yes,2,18,1465,4,1,,
C00503,6,8,2.77,5,Laptop,Drama,Europe,Delayed,Basic,Yes,0,58,7248,4,1,,
C00504,12,5,4.85,8,Mobile,Comedy,Asia,On-Time,Standard,No,3,36,1810,0,4,,
C00505,12,3,0.99,10,Smart TV,Comedy,North America,Delayed,Standard,No,0,42,4671,2,4,,
C00506,12,7,4.93,8,Tablet,Comedy,South America,Delayed,Standard,No,2,21,706,2,1,,
C00507,6,7,3.77,8,Desktop,Thriller,Asia,On-Time,Premium,Yes,6,30,1137,4,2,,
C00508,1,2,0.98,6,Smart TV,Drama,Europe,Delayed,Basic,No,3,65,8097,1,2,,
C00509,1,5,3.71,6,Laptop,Sci-Fi,Asia,Delayed,Standard,No,8,47,1384,0,5,,
C00510,1,2,4.85,9,Smart TV,Romance,Africa,Delayed,Standard,Yes,0,61,1879,4,1,,
C00511,6,9,2.31,9,Mobile,Documentary,South America,Delayed,Standard,Yes,8,44,7106,2,1,,
C00512,3,4,1.08,9,Mobile,Thriller,Africa,Delayed,Premium,No,9,32,8511,4,2,,
C00513,1,8,2.38,10,Desktop,Comedy,Europe,Delayed,Premium,No,4,44,1043,1,1,,
C00514,6,8,3.69,10,Smart TV,Drama,Africa,Delayed,Standard,Yes,6,51,1010,2,4,,
C00515,3,6,4.79,9,Laptop,Documentary,Asia,On-Time,Standard,No,8,44,8963,3,1,,
C00516,24,7,4.66,1,Smart TV,Action,Asia,Delayed,Basic,Yes,0,70,5717,3,3,,
C00517,24,8,3.96,4,Mobile,Documentary,Asia,Delayed,Premium,Yes,6,37,4957,1,1,,
C00518,12,5,1.22,8,Tablet,Thriller,Africa,Delayed,Standard,Yes,6,58,9059,3,5,,
C00519,24,3,0.65,10,Mobile,Comedy,Africa,Delayed,Premium,No,10,32,6309,3,2,,
C00520,3,4,3.75,7,Desktop,Sci-Fi,Asia,On-Time,Standard,No,7,20,3878,3,3,,
